country,gdp_per_capita,family,freedom,generosity,health,trust_corruption,happiness_score,happiness_rank
Afghanistan,0.31982,0.30285,0.23,0.3651,0.3,0.09719,3.58,153
Albania,0.87867,0.80434,0.36,0.14272,0.81,0.06413,4.96,95
Algeria,0.93929,1.07772,0.29,0.07822,0.62,0.17383,5.61,68
Angola,0.75778,0.8604,0.1,0.12344,0.17,0.07122,4.03,137
Argentina,1.05351,1.24823,0.45,0.11451,0.79,0.08484,6.57,30
Armenia,0.76821,0.77711,0.2,0.07855,0.73,0.039,4.35,127
Australia,1.33358,1.30923,0.65,0.43562,0.93,0.35637,7.28,10
Austria,1.33723,1.29704,0.62,0.33088,0.89,0.18676,7.2,13
Azerbaijan,1.02389,0.93793,0.37,0.07799,0.64,0.16065,5.21,80
Bahrain,1.32376,1.21624,0.45,0.17362,0.75,0.306,5.96,49
Bangladesh,0.39753,0.43106,0.41,0.21222,0.6,0.12569,4.69,109
Belarus,1.03192,1.23289,0.38,0.11046,0.74,0.1909,5.81,59
Belgium,1.30782,1.28566,0.58,0.2225,0.9,0.2254,6.94,19
Benin,0.28665,0.35386,0.48,0.1826,0.32,0.0801,3.34,155
Bhutan,0.77042,1.10395,0.53,0.47998,0.57,0.15445,5.25,79
Bolivia,0.68133,0.97841,0.57,0.20536,0.54,0.088,5.89,51
"Bosnia and Herzegovina",0.83223,0.91916,0.09,0.24808,0.79,0.00227,4.95,96
Botswana,0.99355,1.10464,0.49,0.10461,0.05,0.12474,4.33,128
Brazil,0.98124,1.23287,0.49,0.14574,0.7,0.17521,6.98,16
Bulgaria,1.01216,1.10614,0.31,0.11921,0.77,0.00872,4.22,134
"Burkina Faso",0.25812,0.85188,0.39,0.21747,0.27,0.12832,3.59,152
Burundi,0.0153,0.41587,0.12,0.19727,0.22,0.10062,2.91,157
Cambodia,0.46038,0.62736,0.66,0.40359,0.61,0.07247,3.82,145
Cameroon,0.4225,0.88767,0.49,0.20618,0.23,0.05786,4.25,133
